time,station_id,sbe_salinity_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-04 06:00:00+00:00,Mace Head,33.3598,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 06:30:00+00:00,Mace Head,33.373000000000005,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 07:00:00+00:00,Mace Head,33.3594,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 07:30:00+00:00,Mace Head,33.3628,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 08:00:00+00:00,Mace Head,33.3592,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 08:30:00+00:00,Mace Head,33.3544,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 09:00:00+00:00,Mace Head,33.3394,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 09:30:00+00:00,Mace Head,33.3232,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 10:00:00+00:00,Mace Head,33.301,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 10:30:00+00:00,Mace Head,33.3117,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 11:00:00+00:00,Mace Head,33.3003,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 11:30:00+00:00,Mace Head,33.3044,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 12:00:00+00:00,Mace Head,33.330999999999996,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 12:30:00+00:00,Mace Head,33.4098,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 13:00:00+00:00,Mace Head,33.4377,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 13:30:00+00:00,Mace Head,33.4622,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 14:00:00+00:00,Mace Head,33.4045,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 14:30:00+00:00,Mace Head,33.3766,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 15:00:00+00:00,Mace Head,33.3665,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 15:30:00+00:00,Mace Head,33.3609,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 16:00:00+00:00,Mace Head,33.3616,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 16:30:00+00:00,Mace Head,33.3808,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 17:00:00+00:00,Mace Head,33.3889,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 17:30:00+00:00,Mace Head,33.4016,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 18:00:00+00:00,Mace Head,33.4024,1.0,1.0,1.0,1.0,1.0,1,1.0
2020-01-04 18:30:00+00:00,Mace Head,33.4011,1.0,1.0,1.0,1.0,1.0,1,1.0
